BUSES REPORT
============================================================================================================================= 
   BUS    V (pu)     θ (º)     P (MW)     Q (MVAr)      PG (MW)    QG (MVAr)    PD (MW)   QD (MVAr)     Psh (MW)   Qsh (MVAr) 
----------------------------------------------------------------------------------------------------------------------------- 
    1    1.0000    -28.09        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
    2    1.0000    -21.97        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
    3    1.0000    -29.64      -14.80        0.00        0.00        0.00       14.80        0.00        0.00        0.00
    4    1.0000    -35.32      -49.60        0.00        0.00        0.00       49.60        0.00        0.00        0.00
    5    1.0000    -61.36      -12.90        0.00        0.00        0.00       12.90        0.00        0.00        0.00
    6    1.0000    -23.27      -13.00        0.00        0.00        0.00       13.00        0.00        0.00        0.00
    7    1.0000    -22.51       -2.30        0.00        0.00        0.00        2.30        0.00        0.00        0.00
    8    1.0000    -29.70      -15.80        0.00        0.00        0.00       15.80        0.00        0.00        0.00
    9    1.0000    -34.81      -14.90        0.00        0.00        0.00       14.90        0.00        0.00        0.00
   10    1.0000    -34.52        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   11    1.0000    -34.52       -5.20        0.00       28.00        0.00       33.20        0.00        0.00        0.00
   12    1.0000    -13.74        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   13    1.0000    -15.84        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   14    1.0000    -40.77      -63.20        0.00        0.00        0.00       63.20        0.00        0.00        0.00
   15    1.0000    -31.27        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   16    1.0000    -26.51      -13.90        0.00        0.00        0.00       13.90        0.00        0.00        0.00
   17    1.0000    -34.32      -10.90        0.00        0.00        0.00       10.90        0.00        0.00        0.00
   18    1.0000    -23.53        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   19    1.0000    -33.00       -1.00        0.00        0.00        0.00        1.00        0.00        0.00        0.00
   20    1.0000    -23.54       -5.60        0.00        0.00        0.00        5.60        0.00        0.00        0.00
   21    1.0000    -31.45       -7.60        0.00        0.00        0.00        7.60        0.00        0.00        0.00
   22    1.0000    -25.12      -18.50        0.00        0.00        0.00       18.50        0.00        0.00        0.00
   23    1.0000    -25.84      -22.40        0.00        0.00        0.00       22.40        0.00        0.00        0.00
   24    1.0000    -33.58      -17.00        0.00        0.00        0.00       17.00        0.00        0.00        0.00
   25    1.0000    -30.84      -54.70        0.00        0.00        0.00       54.70        0.00        0.00        0.00
   26    1.0000    -33.26      -15.10        0.00        0.00        0.00       15.10        0.00        0.00        0.00
   27    1.0000    -31.61        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   28    1.0000    -34.90       -0.90        0.00        0.00        0.00        0.90        0.00        0.00        0.00
   29    1.0000    -29.09      -76.50        0.00        0.00        0.00       76.50        0.00        0.00        0.00
   30    1.0000    -34.31      -39.90        0.00        0.00        0.00       39.90        0.00        0.00        0.00
   31    1.0000    -25.04        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   32    1.0000    -22.97        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   33    1.0000    -22.76        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   34    1.0000    -21.57        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   35    1.0000    -20.09        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   36    1.0000    -20.40        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   37    1.0000    -27.36        2.70        0.00        0.00        0.00       -2.70        0.00        0.00        0.00
   38    1.0000    -31.47       -5.00        0.00        0.00        0.00        5.00        0.00        0.00        0.00
   39    1.0000    -49.27      -43.60        0.00        0.00        0.00       43.60        0.00        0.00        0.00
   40    1.0000    -39.87      -38.10        0.00        0.00        0.00       38.10        0.00        0.00        0.00
   41    1.0000    -36.83        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   42    1.0000    -10.69        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   43    1.0000    -36.99       -3.20        0.00        0.00        0.00        3.20        0.00        0.00        0.00
   44    1.0000    -54.20      -13.30        0.00        0.00        0.00       13.30        0.00        0.00        0.00
   45    1.0000    -42.24       -3.80        0.00        0.00        0.00        3.80        0.00        0.00        0.00
   46    1.0000    -31.28        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   47    1.0000    -28.82       16.00        0.00       16.00        0.00        0.00        0.00        0.00        0.00
   48    1.0000    -35.86      -40.40        0.00        0.00        0.00       40.40        0.00        0.00        0.00
   49    1.0000    -30.41       -9.80        0.00        0.00        0.00        9.80        0.00        0.00        0.00
   50    1.0000    -30.05        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   51    1.0000    -28.18        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   52    1.0000    -43.24       -6.50        0.00        0.00        0.00        6.50        0.00        0.00        0.00
   53    1.0000    -37.08        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   54    1.0000    -28.77       -0.30        0.00        0.00        0.00        0.30        0.00        0.00        0.00
   55    1.0000    -42.10      -50.90        0.00        0.00        0.00       50.90        0.00        0.00        0.00
   56    1.0000    -38.31      -75.50        0.00        0.00        0.00       75.50        0.00        0.00        0.00
   57    1.0000    -26.75       13.00        0.00       13.00        0.00        0.00        0.00        0.00        0.00
   58    1.0000    -42.09     -154.00        0.00        0.00        0.00      154.00        0.00        0.00        0.00
   59    1.0000    -27.52       -5.00        0.00        0.00        0.00        5.00        0.00        0.00        0.00
   60    1.0000    -19.97        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   61    1.0000    -25.97      -46.30        0.00        0.00        0.00       46.30        0.00        0.00        0.00
   62    1.0000    -21.57        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   63    1.0000    -14.36      -16.80        0.00        0.00        0.00       16.80        0.00        0.00        0.00
   64    1.0000    -29.52      -67.30        0.00        0.00        0.00       67.30        0.00        0.00        0.00
   65    1.0000    -25.55      -12.00        0.00        0.00        0.00       12.00        0.00        0.00        0.00
   66    1.0000    -36.38      -13.00        0.00        0.00        0.00       13.00        0.00        0.00        0.00
   67    1.0000    -22.91       -1.00        0.00        0.00        0.00        1.00        0.00        0.00        0.00
   68    1.0000    -29.32      -53.10        0.00        0.00        0.00       53.10        0.00        0.00        0.00
   69    1.0000    -58.58      -20.80        0.00        0.00        0.00       20.80        0.00        0.00        0.00
   70    1.0000    -13.25      -10.60        0.00        0.00        0.00       10.60        0.00        0.00        0.00
   71    1.0000    -38.33      -69.40        0.00        0.00        0.00       69.40        0.00        0.00        0.00
   72    1.0000    -31.40        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   73    1.0000    -31.40        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   74    1.0000    -29.35      -58.80        0.00        0.00        0.00       58.80        0.00        0.00        0.00
   75    1.0000    -32.03      -25.20        0.00        0.00        0.00       25.20        0.00        0.00        0.00
   76    1.0000    -11.86       -5.90        0.00        0.00        0.00        5.90        0.00        0.00        0.00
   77    1.0000    -28.57      -43.70        0.00        0.00        0.00       43.70        0.00        0.00        0.00
   78    1.0000    -26.82        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   79    1.0000    -39.39        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   80    1.0000    -39.09      -32.40        0.00        0.00        0.00       32.40        0.00        0.00        0.00
   81    1.0000    -39.09      -32.40        0.00        0.00        0.00       32.40        0.00        0.00        0.00
   82    1.0000    -31.85      -11.30        0.00        0.00        0.00       11.30        0.00        0.00        0.00
   83    1.0000    -38.91      -79.00        0.00        0.00        0.00       79.00        0.00        0.00        0.00
   84    1.0000    -25.87        0.10        0.00        0.00        0.00       -0.10        0.00        0.00        0.00
   85    1.0000    -28.11       -0.70        0.00        0.00        0.00        0.70        0.00        0.00        0.00
   86    1.0000    -47.85      -48.80        0.00        0.00        0.00       48.80        0.00        0.00        0.00
   87    1.0000    -12.85        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   88    1.0000    -29.48      -14.80        0.00        0.00        0.00       14.80        0.00        0.00        0.00
   89    1.0000    -40.78      -26.20        0.00        0.00        0.00       26.20        0.00        0.00        0.00
   90    1.0000    -23.82       -0.20        0.00        0.00        0.00        0.20        0.00        0.00        0.00
   91    1.0000    -23.53        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   92    1.0000    -26.52      -31.80        0.00        0.00        0.00       31.80        0.00        0.00        0.00
   93    1.0000    -23.71       -2.00        0.00        0.00        0.00        2.00        0.00        0.00        0.00
   94    1.0000    -33.17      -18.20        0.00        0.00        0.00       18.20        0.00        0.00        0.00
   95    1.0000    -39.36      -57.20        0.00        0.00        0.00       57.20        0.00        0.00        0.00
   96    1.0000    -26.34       -0.90        0.00        0.00        0.00        0.90        0.00        0.00        0.00
   97    1.0000    -18.26      -57.70        0.00        0.00        0.00       57.70        0.00        0.00        0.00
   98    1.0000    -32.87       -9.50        0.00        0.00        0.00        9.50        0.00        0.00        0.00
   99    1.0000    -24.75      -35.80        0.00        0.00        0.00       35.80        0.00        0.00        0.00
  100    1.0000    -33.75      -63.00        0.00        0.00        0.00       63.00        0.00        0.00        0.00
  101    1.0000    -28.69      -17.30        0.00        0.00        0.00       17.30        0.00        0.00        0.00
  102    1.0000    -23.70        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  103    1.0000    -20.28      -12.60        0.00        0.00        0.00       12.60        0.00        0.00        0.00
  104    1.0000    -18.61        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  105    1.0000    -28.02      -36.90        0.00        0.00        0.00       36.90        0.00        0.00        0.00
  106    1.0000    -29.86      -58.20        0.00        0.00        0.00       58.20        0.00        0.00        0.00
  107    1.0000    -38.11     -107.00        0.00        0.00        0.00      107.00        0.00        0.00        0.00
  108    1.0000    -35.23      -12.20        0.00        0.00        0.00       12.20        0.00        0.00        0.00
  109    1.0000    -26.32      -67.80        0.00        0.00        0.00       67.80        0.00        0.00        0.00
  110    1.0000    -23.82        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  111    1.0000    -30.47      -38.70        0.00        0.00        0.00       38.70        0.00        0.00        0.00
  112    1.0000    -34.65        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  113    1.0000    -33.37        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  114    1.0000    -30.85      -13.40        0.00        0.00        0.00       13.40        0.00        0.00        0.00
  115    1.0000    -15.84        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  116    1.0000    -15.84        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  117    1.0000    -33.84      -14.90        0.00        0.00        0.00       14.90        0.00        0.00        0.00
  118    1.0000    -31.68       -2.00        0.00        0.00        0.00        2.00        0.00        0.00        0.00
  119    1.0000    -23.00      -40.60        0.00        0.00        0.00       40.60        0.00        0.00        0.00
  120    1.0000    -25.14      -22.00        0.00        0.00        0.00       22.00        0.00        0.00        0.00
  121    1.0000    -26.38      -20.80        0.00        0.00        0.00       20.80        0.00        0.00        0.00
  122    1.0000    -21.11        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  123    1.0000    -21.22      -12.00        0.00        0.00        0.00       12.00        0.00        0.00        0.00
  124    1.0000    -32.93       -8.00        0.00        0.00        0.00        8.00        0.00        0.00        0.00
  125    1.0000    -24.14       14.90        0.00       26.00        0.00       11.10        0.00        0.00        0.00
  126    1.0000    -27.05       -0.20        0.00        0.00        0.00        0.20        0.00        0.00        0.00
  127    1.0000    -43.24      -14.70        0.00        0.00        0.00       14.70        0.00        0.00        0.00
  128    1.0000    -22.65      -13.80        0.00        0.00        0.00       13.80        0.00        0.00        0.00
  129    1.0000    -20.93      -19.10        0.00        0.00        0.00       19.10        0.00        0.00        0.00
  130    1.0000    -19.38        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  131    1.0000    -24.73     -119.30        0.00        0.00        0.00      119.30        0.00        0.00        0.00
  132    1.0000    -27.12       -9.40        0.00        0.00        0.00        9.40        0.00        0.00        0.00
  133    1.0000    -43.11       -2.70        0.00        0.00        0.00        2.70        0.00        0.00        0.00
  134    1.0000    -39.68     -101.10        0.00        0.00        0.00      101.10        0.00        0.00        0.00
  135    1.0000    -41.97        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  136    1.0000    -46.97      -23.90        0.00        0.00        0.00       23.90        0.00        0.00        0.00
  137    1.0000    -25.70        9.30        0.00       18.00        0.00        8.70        0.00        0.00        0.00
  138    1.0000    -24.64        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  139    1.0000    -16.09       -8.00        0.00        0.00        0.00        8.00        0.00        0.00        0.00
  140    1.0000    -12.52        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  141    1.0000     -9.52        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  142    1.0000    -27.00      -22.40        0.00        0.00        0.00       22.40        0.00        0.00        0.00
  143    1.0000    -24.46        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  144    1.0000    -31.13      -16.00        0.00        0.00        0.00       16.00        0.00        0.00        0.00
  145    1.0000    -29.21      -23.40        0.00        0.00        0.00       23.40        0.00        0.00        0.00
  146    1.0000    -25.91        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  147    1.0000    -28.25      -30.00        0.00        0.00        0.00       30.00        0.00        0.00        0.00
  148    1.0000    -24.34       -6.60        0.00        0.00        0.00        6.60        0.00        0.00        0.00
  149    1.0000    -44.43      -16.90        0.00        0.00        0.00       16.90        0.00        0.00        0.00
  150    1.0000    -25.30      -48.50        0.00        0.00        0.00       48.50        0.00        0.00        0.00
  151    1.0000    -32.62        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  152    1.0000    -32.66      -45.30        0.00        0.00        0.00       45.30        0.00        0.00        0.00
  153    1.0000    -29.11      -27.30        0.00        0.00        0.00       27.30        0.00        0.00        0.00
  154    1.0000    -25.47        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  155    1.0000    -20.44        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  156    1.0000    -32.62        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  157    1.0000    -23.48        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  158    1.0000    -23.50       17.90        0.00       17.90        0.00        0.00        0.00        0.00        0.00
  159    1.0000    -27.31        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  160    1.0000    -25.91      -41.70        0.00        0.00        0.00       41.70        0.00        0.00        0.00
  161    1.0000    -25.92      -43.70        0.00        0.00        0.00       43.70        0.00        0.00        0.00
  162    1.0000    -31.78        0.30        0.00        0.00        0.00       -0.30        0.00        0.00        0.00
  163    1.0000    -21.53        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  164    1.0000    -21.53        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  165    1.0000    -40.04      -16.50        0.00        0.00        0.00       16.50        0.00        0.00        0.00
  166    1.0000    -41.94      -13.30        0.00        0.00        0.00       13.30        0.00        0.00        0.00
  167    1.0000    -43.42      -17.80        0.00        0.00        0.00       17.80        0.00        0.00        0.00
  168    1.0000    -40.03        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  169    1.0000    -35.25       -9.90        0.00        0.00        0.00        9.90        0.00        0.00        0.00
  170    1.0000    -37.15      -79.80        0.00        0.00        0.00       79.80        0.00        0.00        0.00
  171    1.0000    -43.99      -28.00        0.00        0.00        0.00       28.00        0.00        0.00        0.00
  172    1.0000    -41.47        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  173    1.0000    -29.76      -28.50        0.00        0.00        0.00       28.50        0.00        0.00        0.00
  174    1.0000    -34.40      -59.70        0.00        0.00        0.00       59.70        0.00        0.00        0.00
  175    1.0000    -18.29        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  176    1.0000    -17.30        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  177    1.0000    -39.20        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  178    1.0000    -39.20        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  179    1.0000    -43.23        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  180    1.0000    -39.20        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  181    1.0000    -23.35      -12.70        0.00        0.00        0.00       12.70        0.00        0.00        0.00
  182    1.0000    -21.69      -16.00        0.00        0.00        0.00       16.00        0.00        0.00        0.00
  183    1.0000    -32.53       -5.50        0.00        0.00        0.00        5.50        0.00        0.00        0.00
  184    1.0000    -34.41       -5.00        0.00        0.00        0.00        5.00        0.00        0.00        0.00
  185    1.0000    -27.86      -30.60        0.00        0.00        0.00       30.60        0.00        0.00        0.00
  186    1.0000    -31.82       -1.20        0.00        0.00        0.00        1.20        0.00        0.00        0.00
  187    1.0000    -21.55        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  188    1.0000    -18.12        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  189    1.0000    -24.88      -16.80        0.00        0.00        0.00       16.80        0.00        0.00        0.00
  190    1.0000    -23.91        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  191    1.0000    -35.93      -15.40        0.00        0.00        0.00       15.40        0.00        0.00        0.00
  192    1.0000    -27.96       -9.90        0.00        0.00        0.00        9.90        0.00        0.00        0.00
  193    1.0000    -34.06       -0.10        0.00        0.00        0.00        0.10        0.00        0.00        0.00
  194    1.0000    -21.01       29.30        0.00       30.00        0.00        0.70        0.00        0.00        0.00
  195    1.0000    -39.72        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  196    1.0000    -39.72        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  197    1.0000    -27.14      -27.50        0.00        0.00        0.00       27.50        0.00        0.00        0.00
  198    1.0000    -29.91      -11.10        0.00        0.00        0.00       11.10        0.00        0.00        0.00
  199    1.0000    -49.22      -12.60        0.00        0.00        0.00       12.60        0.00        0.00        0.00
  200    1.0000    -26.67        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  201    1.0000    -28.40      -81.00        0.00        0.00        0.00       81.00        0.00        0.00        0.00
  202    1.0000    -33.97      -49.80        0.00        0.00        0.00       49.80        0.00        0.00        0.00
  203    1.0000    -27.93      -28.60        0.00        0.00        0.00       28.60        0.00        0.00        0.00
  204    1.0000    -25.44        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
